City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,loei,17.4167,101.5,17.84,54,56,2.26,TH,2022-12-30
1,quatre cocos,-20.2078,57.7625,27.83,69,20,2.42,MU,2022-12-30
2,lompoc,34.6391,-120.4579,13.4,88,100,2.06,US,2022-12-30
3,ushuaia,-54.8,-68.3,5.81,81,75,12.35,AR,2022-12-30
4,cabra,37.4725,-4.4421,9.24,77,46,1.62,ES,2022-12-30
5,hilo,19.7297,-155.09,22.92,85,40,2.57,US,2022-12-30
6,port alfred,-33.5906,26.891,15.1,94,41,1.51,ZA,2022-12-30
7,chapais,49.7834,-74.8492,-0.12,99,100,3.47,CA,2022-12-30
8,puerto ayora,-0.7393,-90.3518,22.53,96,43,2.47,EC,2022-12-30
9,coahuayana,18.7333,-103.6833,21.04,76,100,1.65,MX,2022-12-30
10,ostrovnoy,68.0531,39.5131,-7.26,88,13,7.67,RU,2022-12-30
11,punta arenas,-53.15,-70.9167,8.06,66,75,8.75,CL,2022-12-30
12,santiago,-33.4569,-70.6483,22.14,42,0,4.12,CL,2022-12-30
13,kahului,20.8947,-156.47,25.47,73,40,3.09,US,2022-12-30
14,atuona,-9.8,-139.0333,25.56,74,15,6.02,PF,2022-12-30
15,dikson,73.5069,80.5464,-26.89,98,99,8.84,RU,2022-12-30
16,umm lajj,25.0213,37.2685,21.18,40,18,0.62,SA,2022-12-30
17,mataura,-46.1927,168.8643,19.3,34,24,2.69,NZ,2022-12-30
18,takoradi,4.8845,-1.7554,25.31,85,94,0.99,GH,2022-12-30
19,port elizabeth,-33.918,25.5701,15.05,94,20,1.54,ZA,2022-12-30
20,trinidad,-14.8333,-64.9,22.2,95,100,1.32,BO,2022-12-30
21,dubbo,-32.25,148.6167,32.07,29,26,5.66,AU,2022-12-30
22,qaanaaq,77.484,-69.3632,-31.99,72,21,2.64,GL,2022-12-30
23,haverfordwest,51.8017,-4.9691,10.03,89,100,4.02,GB,2022-12-30
24,misrikh,27.45,80.5167,15.35,45,50,2.23,IN,2022-12-30
25,khatanga,71.9667,102.5,-25.72,95,97,6.48,RU,2022-12-30
26,iqaluit,63.7506,-68.5145,-26.15,76,40,9.77,CA,2022-12-30
27,batagay-alyta,67.8006,130.4114,-34.76,92,72,2.66,RU,2022-12-30
28,bluff,-46.6,168.3333,13.54,58,31,4.66,NZ,2022-12-30
29,chuy,-33.6971,-53.4616,14.51,77,0,2.07,UY,2022-12-30
30,vaini,-21.2,-175.2,24.09,94,100,4.12,TO,2022-12-30
31,mayo,38.8876,-76.5119,7.5,86,0,2.06,US,2022-12-30
32,new norfolk,-42.7826,147.0587,22.73,39,7,0.89,AU,2022-12-30
33,saint-philippe,-21.3585,55.7679,26.77,74,18,2.26,RE,2022-12-30
34,barrow,71.2906,-156.7887,-18.99,78,100,6.69,US,2022-12-30
35,san quintin,30.4833,-115.95,14.65,74,33,4.56,MX,2022-12-30
36,cape town,-33.9258,18.4232,18.54,54,89,5.81,ZA,2022-12-30
